,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
72,med,HMMViterbi,1,3,1.0,0.084425,1.5,0.7222222222222222,15.0,0.0,3.0,10.0,10.0,0.48148148148148145,31.622776601683793,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
73,med,HMMViterbi,0,0,-1.0,0.084435,0.23142857142857143,0.23285959323695168,405.0,0.0,3.0,1750.0,1749.9999999999998,1.0061834275670751,2.3904572186687876,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
74,med,HMMViterbi,1,3,1.0,0.086185,1.4285714285714286,1.032967032967033,20.0,0.0,3.0,14.0,14.0,0.7230769230769232,26.72612419124244,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
75,med,HMMViterbi,0,0,-1.0,0.086199,0.22,0.2629145728643216,44.0,0.0,3.0,200.0,199.99999999999997,1.195066240292371,7.0710678118654755,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
76,med,HMMViterbi,1,3,1.0,0.08639899999999999,2.1666666666666665,2.878787878787879,26.0,0.0,5.0,12.0,12.0,1.3286713286713288,28.867513459481287,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
77,med,HMMViterbi,0,0,-1.0,0.086411,0.24476904855902093,0.24970110185363623,620.0,0.0,3.0,2533.0,2533.0,1.0201498241859042,1.9869292589280094,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
78,med,HMMViterbi,1,3,1.0,0.088944,1.4545454545454546,0.8727272727272727,16.0,0.0,3.0,11.0,11.0,0.6,30.15113445777636,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
79,med,HMMViterbi,0,0,-1.0,0.08895499999999999,0.23267326732673269,0.2541887625295037,376.0,0.0,3.0,1616.0,1616.0,1.0924708517225477,2.487592975524973,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
80,med,HMMViterbi,1,3,1.0,0.090571,2.0,0.8,22.0,1.0,3.0,11.0,11.0,0.4,30.15113445777636,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
81,med,HMMViterbi,0,0,-1.0,0.090582,0.2512,0.2442939951961569,314.0,0.0,3.0,1250.0,1250.0,0.9725079426598604,2.8284271247461903,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
82,med,HMMViterbi,1,3,1.0,0.091832,2.652173913043478,2.5098814229249014,61.0,0.0,6.0,23.0,23.0,0.9463487332339793,20.851441405707476,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
83,med,HMMViterbi,0,0,-1.0,0.09185499999999999,0.23835616438356164,0.2424808068643685,87.0,0.0,3.0,365.0,365.0,1.0173045345459137,5.234239225902137,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
84,med,HMMViterbi,1,3,1.0,0.09222,2.46875,3.805443548387097,79.0,0.0,9.0,32.0,32.0,1.5414454879542672,17.67766952966369,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
85,med,HMMViterbi,0,0,-1.0,0.092252,0.23751274209989806,0.24997148212156386,932.0,0.0,4.0,3924.0,3923.9999999999995,1.0524550384603182,1.5963771420352522,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
86,med,HMMViterbi,1,3,1.0,0.096176,1.736842105263158,1.3157894736842106,33.0,0.0,4.0,19.0,18.999999999999996,0.7575757575757576,22.94157338705618,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
87,med,HMMViterbi,0,0,-1.0,0.09619499999999999,0.25851528384279476,0.2757687727120042,296.0,0.0,3.0,1145.0,1145.0,1.0667406917406919,2.9552706228277086,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
88,med,HMMViterbi,1,3,1.0,0.09734,1.7142857142857142,1.9047619047619049,12.0,0.0,3.0,7.0,7.0,1.1111111111111112,37.79644730092272,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
89,med,HMMViterbi,0,0,-1.0,0.09734699999999999,0.2399364406779661,0.24605659373231653,453.0,0.0,3.0,1888.0,1888.0,1.0255073928622818,2.3014365447458083,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
90,med,HMMViterbi,1,3,1.0,0.09923499999999999,2.8518518518518516,4.054131054131055,77.0,0.0,9.0,27.0,27.0,1.421578421578422,19.245008972987527,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
91,med,HMMViterbi,0,0,-1.0,0.09926199999999999,0.2408268733850129,0.2429031421936835,466.0,0.0,3.0,1935.0,1934.9999999999998,1.0086214166196945,2.2733144649015786,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
92,med,HMMViterbi,1,3,1.0,0.101197,2.111111111111111,1.1111111111111112,19.0,1.0,4.0,9.0,9.0,0.5263157894736842,33.33333333333333,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
93,med,HMMViterbi,0,0,-1.0,0.10120599999999999,0.26081657525898844,0.28437225962753226,428.0,0.0,4.0,1641.0,1640.9999999999998,1.0903151356279916,2.468571493056562,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
94,med,HMMViterbi,1,3,1.0,0.102847,2.111111111111111,1.1111111111111112,19.0,1.0,4.0,9.0,9.0,0.5263157894736842,33.33333333333333,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
95,med,HMMViterbi,0,0,-1.0,0.10285599999999999,0.23653846153846153,0.23488587520379428,123.0,0.0,3.0,520.0,520.0,0.9930134561461222,4.385290096535146,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
96,med,HMMViterbi,1,3,1.0,0.103376,2.4,2.8842105263157896,48.0,0.0,6.0,20.0,20.0,1.2017543859649125,22.360679774997898,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
97,med,HMMViterbi,0,0,-1.0,0.103396,0.2845849802371542,0.3155154024719242,72.0,0.0,3.0,253.0,252.99999999999997,1.1086860670194003,6.286946134619314,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
98,med,HMMViterbi,1,3,1.0,0.10364899999999999,1.7037037037037037,1.6780626780626777,46.0,0.0,4.0,27.0,27.0,0.9849498327759195,19.245008972987527,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
99,med,HMMViterbi,0,0,-1.0,0.10367599999999999,0.23427331887201736,0.255588450731427,216.0,0.0,4.0,922.0,922.0,1.090984035066554,3.2933246096939213,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
